索引,股票名称,股票代码,当前价格,涨幅,涨跌额度,成交量（手）,成交额,振幅
4977,浙江荣泰,603119,45.3,-3.21%,-1.5,9.55万,4.33亿,3.53%
4978,辽宁成大,600739,9.66,-3.21%,-0.32,13.29万,1.28亿,2.40%
4979,诚邦股份,603316,5.13,-3.21%,-0.17,2.09万,1084.21万,3.96%
4980,大地电气,870436,17.2,-3.21%,-0.57,9110,1574.30万,4.33%
4981,中化岩土,002542,3,-3.23%,-0.1,17.70万,5353.49万,2.90%
4982,聚力文化,002247,2.4,-3.23%,-0.08,10.63万,2565.02万,4.03%
4983,中捷资源,002021,2.1,-3.23%,-0.07,13.88万,2952.65万,2.76%
4984,安必平,688393,28.78,-3.23%,-0.96,2.77万,7998.77万,3.16%
4985,德邦科技,688035,38.91,-3.23%,-1.3,1.91万,7400.23万,4.73%
4986,迅安科技,834950,20.95,-3.23%,-0.7,3740,782.94万,4.25%
4987,运达股份,300772,11.07,-3.23%,-0.37,18.22万,2.01亿,4.28%
4988,济高发展,600807,2.39,-3.24%,-0.08,9.25万,2224.78万,3.64%
4989,亚通股份,600692,7.17,-3.24%,-0.24,6.94万,4967.01万,4.99%
4990,福建水泥,600802,4.18,-3.24%,-0.14,5.22万,2189.45万,4.63%
4991,六国化工,600470,5.37,-3.24%,-0.18,11.75万,6332.19万,4.50%
4992,润达医疗,603108,16.39,-3.25%,-0.55,17.67万,2.90亿,6.20%
4993,云维股份,600725,2.98,-3.25%,-0.1,13.70万,4101.92万,3.25%
4994,建新股份,300107,7.45,-3.25%,-0.25,6.22万,4620.48万,3.12%
4995,卓胜微,300782,73,-3.25%,-2.45,5.89万,4.32亿,1.78%
4996,中国高科,600730,6.25,-3.25%,-0.21,9.49万,5980.25万,2.48%
4997,天味食品,603317,13.39,-3.25%,-0.45,7.09万,9525.24万,4.55%
4998,远大智能,002689,3.27,-3.25%,-0.11,9.03万,2983.98万,3.25%
4999,创新医疗,002173,8.62,-3.25%,-0.29,14.53万,1.26亿,2.81%
5000,多伦科技,603528,7.43,-3.26%,-0.25,6.94万,5194.16万,2.86%
5001,顺博合金,002996,6.53,-3.26%,-0.22,16.24万,1.07亿,3.56%
5002,君逸数码,301172,24.85,-3.27%,-0.84,1.34万,3358.96万,3.97%
5003,生物股份,600201,6.79,-3.28%,-0.23,11.05万,7594.17万,3.70%
5004,时空科技,605178,13.86,-3.28%,-0.47,1.03万,1423.51万,4.75%
5005,中储股份,600787,6.19,-3.28%,-0.21,44.91万,2.80亿,4.22%
5006,永兴股份,601033,15.31,-3.28%,-0.52,5.72万,8719.54万,4.74%
5007,汉宇集团,300403,15.31,-3.28%,-0.52,22.27万,3.43亿,4.04%
5008,康华生物,300841,50.93,-3.29%,-1.73,2.31万,1.18亿,4.41%
5009,美凯龙,601828,2.94,-3.29%,-0.1,12.21万,3625.95万,3.95%
5010,润丰股份,301035,52.92,-3.29%,-1.8,7759,4128.67万,3.64%
5011,华鲁恒升,600426,20.28,-3.29%,-0.69,14.97万,3.02亿,2.72%
5012,江苏新能,603693,12.93,-3.29%,-0.44,17.00万,2.21亿,5.39%
5013,浙江永强,002489,3.23,-3.29%,-0.11,21.77万,7104.71万,3.59%
5014,华天酒店,000428,3.23,-3.29%,-0.11,32.83万,1.09亿,8.08%
5015,萤石网络,688475,33.45,-3.30%,-1.14,2.05万,6893.36万,4.68%
5016,ST英飞拓,002528,2.05,-3.30%,-0.07,6.66万,1353.12万,2.83%
5017,润达医疗,603108,16.38,-3.31%,-0.56,17.68万,2.91亿,6.20%
5018,珠江股份,600684,3.51,-3.31%,-0.12,19.78万,6980.81万,4.13%
5019,泛亚微透,688386,54.61,-3.31%,-1.87,1.82万,9807.05万,4.37%
5020,索宝蛋白,603231,16.06,-3.31%,-0.55,2.41万,3895.17万,2.83%
5021,富岭股份,001356,14.24,-3.33%,-0.49,8.76万,1.25亿,2.58%
5022,美邦科技,832471,15.11,-3.33%,-0.52,1.83万,2732.19万,4.99%
5023,中国出版,601949,6.39,-3.33%,-0.22,16.16万,1.03亿,3.78%
5024,祥鑫科技,002965,46.46,-3.33%,-1.6,5.68万,2.66亿,3.66%
5025,西部创业,000557,5.22,-3.33%,-0.18,8.35万,4397.94万,3.52%
5026,大业股份,603278,8.69,-3.34%,-0.3,10.44万,9162.28万,4.23%
5027,法狮龙,605318,27.2,-3.34%,-0.94,3901,1073.70万,4.83%
5028,中国交建,601800,8.97,-3.34%,-0.31,28.22万,2.55亿,2.16%
5029,新农开发,600359,6.64,-3.35%,-0.23,8.30万,5582.17万,3.93%
5030,梅轮电梯,603321,7.2,-3.36%,-0.25,2.67万,1938.29万,3.76%
5031,均普智能,688306,9.79,-3.36%,-0.34,12.63万,1.25亿,3.06%
5032,泸天化,000912,4.59,-3.37%,-0.16,11.88万,5456.82万,4.42%
5033,惠博普,002554,2.29,-3.38%,-0.08,14.05万,3247.09万,4.22%
5034,来伊份,603777,12.88,-3.38%,-0.45,6.32万,8206.79万,3.15%
5035,聚合顺,605166,10.87,-3.38%,-0.38,5.91万,6452.18万,4.44%
5036,神州细胞-U,688520,36.89,-3.38%,-1.29,3.16万,1.14亿,5.00%
5037,海优新材,688680,35.16,-3.38%,-1.23,8512,3033.98万,4.45%
5038,文峰股份,601010,3.14,-3.38%,-0.11,39.76万,1.26亿,3.38%
5039,神宇股份,300563,33.96,-3.39%,-1.19,3.97万,1.35亿,3.04%
5040,中科飞测,688361,79.32,-3.39%,-2.78,2.77万,2.22亿,4.09%
5041,神宇股份,300563,33.96,-3.39%,-1.19,3.97万,1.35亿,3.04%
5042,丹化科技,600844,2.85,-3.39%,-0.1,17.24万,4929.00万,4.41%
5043,海航科技,600751,2.85,-3.39%,-0.1,27.29万,7804.82万,4.07%
5044,广田集团,002482,1.71,-3.39%,-0.06,23.97万,4138.46万,2.82%
5045,银河微电,688689,22.44,-3.40%,-0.79,2.31万,5074.95万,5.64%
5046,正元智慧,300645,13.35,-3.40%,-0.47,3.91万,5281.58万,4.34%
5047,*ST文投,600715,2.27,-3.40%,-0.08,26.35万,6024.47万,4.26%
5048,神州细胞-U,688520,36.88,-3.40%,-1.3,3.16万,1.14亿,5.00%
5049,云内动力,000903,3.12,-3.41%,-0.11,30.19万,9454.45万,3.10%
5050,三峡旅游,002627,5.95,-3.41%,-0.21,74.78万,4.59亿,8.12%
5051,梓橦宫,832566,11.6,-3.41%,-0.41,2.74万,3199.02万,4.50%
5052,庄园牧场,002910,8.2,-3.42%,-0.29,7.07万,5827.50万,3.30%
5053,百甲科技,835857,6.22,-3.42%,-0.22,2.02万,1263.28万,6.37%
5054,两面针,600249,5.36,-3.42%,-0.19,24.50万,1.32亿,5.05%
5055,明牌珠宝,002574,5.36,-3.42%,-0.19,18.83万,1.00亿,3.24%
5056,莱伯泰科,688056,34.4,-3.43%,-1.22,9571,3308.20万,5.05%
5057,玉马科技,300993,9.86,-3.43%,-0.35,4.00万,3961.63万,3.82%
5058,远达环保,600292,12.39,-3.43%,-0.44,18.58万,2.32亿,3.98%
5059,巴比食品,605338,18.02,-3.43%,-0.64,2.69万,4877.57万,3.97%
5060,能特科技,002102,2.81,-3.44%,-0.1,39.90万,1.13亿,3.78%
5061,嘉澳环保,603822,53.3,-3.44%,-1.9,8819,4708.39万,3.89%
5062,晓程科技,300139,17.11,-3.44%,-0.61,23.11万,3.97亿,3.22%
5063,锐科激光,300747,17.09,-3.45%,-0.61,4.59万,7906.12万,2.94%
5064,海目星,688559,26.89,-3.45%,-0.96,2.09万,5680.39万,3.45%
5065,艾森股份,688720,38.92,-3.45%,-1.39,1.05万,4127.48万,5.23%
5066,御银股份,002177,4.48,-3.45%,-0.16,30.34万,1.38亿,4.74%
5067,山子高科,000981,1.68,-3.45%,-0.06,95.96万,1.63亿,2.87%
5068,园林股份,605303,8.39,-3.45%,-0.3,2.38万,2009.21万,3.80%
5069,滨化股份,601678,3.91,-3.46%,-0.14,30.69万,1.21亿,3.95%
5070,ST天邦,002124,3.35,-3.46%,-0.12,38.97万,1.32亿,5.76%
5071,深物业A,000011,8.09,-3.46%,-0.29,3.24万,2639.36万,3.70%
5072,北辰实业,601588,1.67,-3.47%,-0.06,21.67万,3630.24万,4.05%
5073,安洁科技,002635,12.8,-3.47%,-0.46,5.83万,7478.27万,1.58%
5074,泛亚微透,688386,54.52,-3.47%,-1.96,1.82万,9808.14万,4.37%
5075,福建水泥,600802,4.17,-3.47%,-0.15,5.22万,2191.79万,4.63%
5076,誉衡药业,002437,2.5,-3.47%,-0.09,54.03万,1.35亿,4.63%
5077,东方电热,300217,4.43,-3.49%,-0.16,26.39万,1.18亿,3.92%
5078,远 望 谷,002161,5.26,-3.49%,-0.19,13.93万,7266.97万,2.94%
5079,东方雨虹,002271,11.35,-3.49%,-0.41,16.71万,1.91亿,3.66%
5080,大禹生物,871970,7.47,-3.49%,-0.27,2.28万,1703.62万,6.20%
5081,东方雨虹,002271,11.35,-3.49%,-0.41,16.71万,1.91亿,3.66%
5082,大禹生物,871970,7.47,-3.49%,-0.27,2.28万,1703.62万,6.20%
5083,韵达股份,002120,6.89,-3.50%,-0.25,26.99万,1.85亿,3.36%
5084,金花股份,600080,6.87,-3.51%,-0.25,4.76万,3306.01万,3.37%
5085,德林海,688069,14,-3.51%,-0.51,5082,716.18万,4.96%
5086,西部创业,000557,5.21,-3.52%,-0.19,8.35万,4398.52万,3.52%
5087,荣盛发展,002146,1.37,-3.52%,-0.05,124.35万,1.70亿,4.23%
5088,北矿科技,600980,15.61,-3.52%,-0.57,3.10万,4882.68万,3.46%
5089,水羊股份,300740,11.75,-3.53%,-0.43,3.57万,4225.06万,3.53%
5090,华软科技,002453,5.19,-3.53%,-0.19,10.83万,5652.65万,4.46%
5091,宏达高科,002144,10.37,-3.53%,-0.38,1.97万,2053.30万,4.09%
5092,曲江文旅,600706,9,-3.54%,-0.33,5.86万,5328.59万,4.39%
5093,杭州热电,605011,25.08,-3.54%,-0.92,8.90万,2.23亿,5.00%
5094,拉芳家化,603630,17.99,-3.54%,-0.66,3.34万,6030.29万,2.79%
5095,凤凰股份,600716,3.27,-3.54%,-0.12,8.50万,2790.54万,5.01%
5096,ST惠程,002168,2.18,-3.54%,-0.08,8.42万,1868.45万,5.75%
5097,佛塑科技,000973,6.54,-3.54%,-0.24,14.25万,9409.08万,3.98%
5098,元力股份,300174,14.44,-3.54%,-0.53,6.01万,8639.24万,3.34%
5099,科蓝软件,300663,14.98,-3.54%,-0.55,10.89万,1.65亿,4.64%
