索引,股票名称,股票代码,当前价格,涨幅,涨跌额度,成交量（手）,成交额,振幅
1282,宏创控股,002379,9.61,0.21%,0.02,7.89万,7513.28万,2.82%
1283,冠龙节能,301151,14.72,0.20%,0.03,1.28万,1900.27万,3.13%
1284,金雷股份,300443,19.65,0.20%,0.04,4.44万,8781.63万,2.55%
1285,复洁环保,688335,9.83,0.20%,0.02,4939,481.64万,2.45%
1286,世纪天鸿,300654,9.96,0.20%,0.02,5.27万,5233.15万,2.82%
1287,汉王科技,002362,19.92,0.20%,0.04,2.15万,4262.18万,2.11%
1288,博思软件,300525,15.06,0.20%,0.03,13.34万,2.02亿,3.66%
1289,南网储能,600995,10.07,0.20%,0.02,10.09万,1.02亿,1.99%
1290,山煤国际,600546,10.08,0.20%,0.02,7.12万,7124.41万,1.99%
1291,森源电气,002358,5.06,0.20%,0.01,12.28万,6240.39万,3.17%
1292,盛美上海,688082,101.68,0.20%,0.2,4730,4791.94万,1.71%
1293,中航光电,002179,40.84,0.20%,0.08,4.12万,1.69亿,1.25%
1294,道恩股份,002838,15.4,0.20%,0.03,3.67万,5664.48万,1.56%
1295,信凯科技,001335,36.16,0.19%,0.07,1.72万,6177.14万,1.91%
1296,亨通光电,600487,15.73,0.19%,0.03,21.07万,3.29亿,1.78%
1297,银座股份,600858,5.25,0.19%,0.01,9.03万,4716.59万,2.48%
1298,桐昆股份,601233,10.59,0.19%,0.02,7.37万,7781.88万,1.42%
1299,英洛华,000795,10.61,0.19%,0.02,6.88万,7290.31万,1.61%
1300,佐力药业,300181,15.95,0.19%,0.03,7.43万,1.19亿,1.01%
1301,亚联机械,001395,48.49,0.19%,0.09,3.28万,1.55亿,4.46%
1302,呈和科技,688625,49.29,0.18%,0.09,6298,3092.01万,2.24%
1303,百诚医药,301096,33.06,0.18%,0.06,9572,3144.45万,2.61%
1304,富创精密,688409,49.82,0.18%,0.09,1.26万,6255.57万,2.29%
1305,永福股份,300712,22.17,0.18%,0.04,6478,1446.60万,1.81%
1306,深高速,600548,11.1,0.18%,0.02,1.19万,1322.49万,1.26%
1307,国脉文化,600640,11.15,0.18%,0.02,3.89万,4343.97万,2.79%
1308,同星科技,301252,33.46,0.18%,0.06,9650,3215.37万,2.78%
1309,长信科技,300088,5.58,0.18%,0.01,14.90万,8325.10万,1.80%
1310,温氏股份,300498,16.92,0.18%,0.03,12.19万,2.05亿,1.01%
1311,首航新能,301658,28.28,0.18%,0.05,3.56万,1.01亿,2.76%
1312,南方航空,600029,5.67,0.18%,0.01,19.65万,1.11亿,0.88%
1313,澳华内镜,688212,40.07,0.18%,0.07,3967,1590.49万,2.48%
1314,艾力斯,688578,86.18,0.17%,0.15,2.74万,2.35亿,3.73%
1315,特变电工,600089,11.6,0.17%,0.02,9.42万,1.09亿,0.69%
1316,农心科技,001231,17.57,0.17%,0.03,8033,1411.46万,2.11%
1317,冰轮环境,000811,11.72,0.17%,0.02,4.00万,4700.25万,1.54%
1318,斯瑞新材,688102,11.79,0.17%,0.02,4.56万,5337.87万,2.89%
1319,正强股份,301119,35.84,0.17%,0.06,1.18万,4187.45万,3.13%
1320,英维克,002837,30.43,0.16%,0.05,12.52万,3.83亿,3.59%
1321,冰轮环境,000811,11.72,0.17%,0.02,4.00万,4700.25万,1.54%
1322,贵州茅台,600519,1552.64,0.17%,2.64,7030,10.91亿,0.54%
1323,斯瑞新材,688102,11.79,0.17%,0.02,4.56万,5337.87万,2.89%
1324,中远海特,600428,5.98,0.17%,0.01,7.76万,4621.01万,1.34%
1325,英维克,002837,30.43,0.16%,0.05,12.52万,3.83亿,3.59%
1326,新 华 都,002264,6.21,0.16%,0.01,9.37万,5771.72万,2.74%
1327,必得科技,605298,12.5,0.16%,0.02,1.09万,1366.84万,3.93%
1328,深圳能源,000027,6.29,0.16%,0.01,11.16万,6988.95万,1.59%
1329,九丰能源,605090,25.17,0.16%,0.04,7689,1930.84万,0.80%
1330,景嘉微,300474,69.31,0.16%,0.11,2.47万,1.71亿,1.52%
1331,宇晶股份,002943,25.25,0.16%,0.04,9.12万,2.30亿,4.72%
1332,天地科技,600582,6.35,0.16%,0.01,16.50万,1.04亿,1.26%
1333,精达股份,600577,6.44,0.16%,0.01,26.26万,1.69亿,3.58%
1334,雷柏科技,002577,19.55,0.15%,0.03,1.65万,3214.90万,1.84%
1335,金雷股份,300443,19.64,0.15%,0.03,4.44万,8782.22万,2.55%
1336,东睦股份,600114,19.66,0.15%,0.03,7.96万,1.56亿,2.45%
1337,三变科技,002112,13.24,0.15%,0.02,11.04万,1.48亿,3.93%
1338,欣贺股份,003016,6.75,0.15%,0.01,2.74万,1864.63万,4.30%
1339,洲明科技,300232,6.78,0.15%,0.01,13.18万,8907.63万,2.36%
1340,洁特生物,688026,13.86,0.14%,0.02,1.61万,2210.82万,2.24%
1341,星辉环材,300834,20.02,0.15%,0.03,1.14万,2293.00万,3.80%
1342,欣贺股份,003016,6.75,0.15%,0.01,2.74万,1864.63万,4.30%
1343,常山北明,000158,20.43,0.15%,0.03,24.69万,5.05亿,2.50%
1344,麦迪科技,603990,13.79,0.15%,0.02,3.98万,5490.79万,1.82%
1345,洁特生物,688026,13.86,0.14%,0.02,1.61万,2210.82万,2.24%
1346,积成电子,002339,6.93,0.14%,0.01,7.71万,5340.41万,2.31%
1347,晶合集成,688249,20.87,0.14%,0.03,3.82万,7947.96万,1.82%
1348,上能电气,300827,28.1,0.14%,0.04,5.17万,1.46亿,3.35%
1349,上海电气,601727,7.16,0.14%,0.01,59.43万,4.28亿,2.66%
1350,永臻股份,603381,21.57,0.14%,0.03,9604,2056.01万,2.00%
1351,华兰股份,301093,28.89,0.14%,0.04,5850,1683.28万,2.56%
1352,老凤祥,600612,50.59,0.14%,0.07,4746,2396.79万,1.88%
1353,国电南自,600268,7.3,0.14%,0.01,7.30万,5295.50万,1.65%
1354,华海清科,688120,170.27,0.14%,0.23,9553,1.63亿,1.60%
1355,冠农股份,600251,7.47,0.13%,0.01,8.93万,6726.47万,1.88%
1356,星湖科技,600866,7.51,0.13%,0.01,24.56万,1.84亿,2.27%
1357,源杰科技,688498,113.5,0.13%,0.15,1.29万,1.46亿,3.41%
1358,中贝通信,603220,22.86,0.13%,0.03,7.60万,1.74亿,2.50%
1359,中船防务,600685,23.35,0.13%,0.03,3.04万,7091.81万,1.29%
1360,光韵达,300227,7.82,0.13%,0.01,2.95万,2296.11万,1.66%
1361,百润股份,002568,23.68,0.13%,0.03,3.73万,8893.98万,2.66%
1362,稳健医疗,300888,48.79,0.12%,0.06,1.68万,8119.11万,3.73%
1363,华大智造,688114,73.34,0.12%,0.09,2.74万,1.97亿,5.80%
1364,水星家纺,603365,16.3,0.12%,0.02,1.33万,2149.09万,5.28%
1365,国金证券,600109,8.2,0.12%,0.01,20.61万,1.68亿,1.59%
1366,大商股份,600694,26.24,0.11%,0.03,3.59万,9569.20万,3.66%
1367,丽珠集团,000513,35,0.11%,0.04,2.26万,7881.59万,1.12%
1368,斯菱股份,301550,105.12,0.11%,0.12,2.94万,3.15亿,6.12%
1369,扬州金泉,603307,35.56,0.11%,0.04,9130,3244.20万,2.73%
1370,北部湾港,000582,8.9,0.11%,0.01,30.97万,2.75亿,3.49%
1371,陕西能源,001286,8.97,0.11%,0.01,9.56万,8571.37万,1.34%
1372,连城数控,835368,27.21,0.11%,0.03,1.18万,3205.21万,2.47%
1373,山西汾酒,600809,211.38,0.11%,0.23,1.65万,3.49亿,1.41%
1374,ST九芝,000989,9.21,0.11%,0.01,8.25万,7590.95万,1.63%
1375,申能股份,600642,9.37,0.11%,0.01,7.31万,6830.25万,1.18%
1376,药明康德,603259,57.42,0.10%,0.06,14.08万,8.08亿,2.18%
1377,雷柏科技,002577,19.54,0.10%,0.02,1.65万,3215.68万,1.84%
1378,开润股份,300577,19.96,0.10%,0.02,2.98万,5904.19万,4.81%
1379,东箭科技,300978,10.12,0.10%,0.01,2.09万,2109.32万,2.77%
1380,常山北明,000158,20.42,0.10%,0.02,24.69万,5.05亿,2.50%
1381,常山药业,300255,20.6,0.10%,0.02,4.82万,9892.76万,2.09%
1382,亚太股份,002284,10.51,0.10%,0.01,15.34万,1.62亿,2.29%
1383,优刻得-W,688158,21.24,0.09%,0.02,13.06万,2.80亿,4.24%
1384,上海机场,600009,32.29,0.09%,0.03,2.82万,9093.32万,0.68%
1385,深高速,600548,11.09,0.09%,0.01,1.19万,1322.60万,1.26%
1386,百川畅银,300614,11.12,0.09%,0.01,2.16万,2395.00万,4.23%
1387,盛美上海,688082,101.57,0.09%,0.09,4732,4793.97万,1.71%
1388,嘉益股份,301004,96.28,0.08%,0.08,3042,2949.51万,2.12%
1389,长城科技,603897,24.15,0.08%,0.02,2.10万,5078.71万,1.70%
1390,金溢科技,002869,24.61,0.08%,0.02,1.39万,3397.28万,2.36%
1391,时创能源,688429,12.95,0.08%,0.01,4110,529.63万,3.01%
1392,达威股份,300535,14.05,0.07%,0.01,1.11万,1543.98万,3.21%
1393,浪潮软件,600756,14.3,0.07%,0.01,3.39万,4845.53万,2.45%
1394,艾融软件,830799,57.92,0.07%,0.04,2.63万,1.52亿,3.44%
1395,杰美特,300868,29.73,0.07%,0.02,7811,2297.87万,3.97%
1396,韦尔股份,603501,121.94,0.07%,0.08,4.36万,5.33亿,1.36%
1397,华海清科,688120,170.15,0.06%,0.11,9558,1.63亿,1.60%
1398,宝丰能源,600989,15.66,0.06%,0.01,13.25万,2.07亿,1.47%
1399,凯旺科技,301182,31.44,0.06%,0.02,2.07万,6633.55万,5.25%
1400,大华股份,002236,16.1,0.06%,0.01,11.94万,1.92亿,1.24%
1401,汇川技术,300124,64.94,0.05%,0.03,6.38万,4.14亿,1.96%
1402,大洋生物,003017,22.94,0.04%,0.01,4.91万,1.12亿,5.84%
1403,开发科技,920029,103,0.04%,0.04,2.60万,2.65亿,5.98%
1404,创业黑马,300688,26.94,0.04%,0.01,2.46万,6586.32万,2.86%
1405,慧博云通,301316,27.08,0.04%,0.01,10.68万,2.89亿,2.51%
1406,磁谷科技,688448,27.35,0.04%,0.01,2585,703.26万,3.37%
1407,迈普医学,301033,56.05,0.04%,0.02,7564,4208.73万,3.62%
1408,光威复材,300699,28.76,0.03%,0.01,3.52万,1.01亿,1.25%
1409,海兴电力,603556,28.87,0.03%,0.01,1.19万,3423.55万,1.52%
1410,中密控股,300470,35.93,0.03%,0.01,1.09万,3947.25万,2.73%
1411,速达股份,001277,38.22,0.03%,0.01,2.01万,7450.45万,7.17%
1412,亿田智能,300911,40.78,0.02%,0.01,1.31万,5327.59万,2.48%
1413,光启技术,002625,41.45,0.02%,0.01,10.08万,4.19亿,3.67%
1415,天纺标,871753,27.12,0.00%,0,4177,1133.44万,2.69%
1419,科达自控,831832,26.83,0.00%,0,6314,1690.76万,4.32%
1421,天纺标,871753,27.12,0.00%,0,4177,1133.44万,2.69%
1425,科达自控,831832,26.83,0.00%,0,6314,1690.76万,4.32%
1427,凯因科技,688687,25.74,0.00%,0,2.24万,5674.40万,3.03%
1429,安凯微,688620,11.56,0.00%,0,2.62万,3023.10万,2.51%
1430,康鹏科技,688602,7.7,0.00%,0,11.38万,8666.18万,4.03%
1432,清越科技,688496,7.34,0.00%,0,2.19万,1590.19万,2.59%
1433,康为世纪,688426,17.38,0.00%,0,3376,582.25万,2.70%
1434,泽璟制药-U,688266,100.78,0.00%,0,2.04万,2.00亿,5.69%
1435,莱特光电,688150,22.4,0.00%,0,2.23万,4970.31万,2.28%
1436,东芯股份,688110,30.18,0.00%,0,2.67万,8017.72万,1.79%
1438,美迪凯,688079,8.33,0.00%,0,1.84万,1526.28万,2.52%
1439,宏柏新材,605366,5.53,0.00%,0,3.06万,1686.21万,3.25%
1441,美迪凯,688079,8.33,0.00%,0,1.84万,1526.28万,2.52%
1442,宏柏新材,605366,5.53,0.00%,0,3.06万,1686.21万,3.25%
1445,银龙股份,603969,6.75,0.00%,0,17.40万,1.17亿,2.96%
1446,法兰泰克,603966,9.04,0.00%,0,5.44万,4964.39万,3.65%
1448,华体科技,603679,11.19,0.00%,0,2.16万,2395.96万,2.32%
1451,勘设股份,603458,7.29,0.00%,0,4.96万,3633.73万,3.57%
1452,和顺石油,603353,14.95,0.00%,0,1.61万,2392.87万,2.27%
1455,富佳股份,603219,14.04,0.00%,0,1.93万,2711.86万,3.21%
1459,中远海控,601919,14.38,0.00%,0,26.23万,3.77亿,0.90%
1460,辽港股份,601880,1.47,0.00%,0,33.47万,4918.24万,1.36%
1484,通宝能源,600780,6.11,0.00%,0,19.03万,1.16亿,2.95%
1492,鲁北化工,600727,7.99,0.00%,0,20.10万,1.59亿,6.13%
1494,天津港,600717,4.54,0.00%,0,7.87万,3559.56万,1.32%
1516,天下秀,600556,4.61,0.00%,0,15.25万,6995.17万,2.39%
1520,康美药业,600518,1.95,0.00%,0,69.30万,1.34亿,1.54%
1522,海南机场,600515,3.53,0.00%,0,27.36万,9624.61万,2.27%
1527,中远海特,600428,5.97,0.00%,0,7.77万,4628.54万,1.34%
1537,酒钢宏兴,600307,1.37,0.00%,0,22.08万,3043.61万,2.19%
1541,ST舜天,600287,4.78,0.00%,0,3.28万,1545.39万,3.97%
1546,国电南自,600268,7.29,0.00%,0,7.32万,5309.07万,1.65%
1554,海航控股,600221,1.36,0.00%,0,52.99万,7187.61万,1.47%
1562,国金证券,600109,8.19,0.00%,0,20.63万,1.68亿,1.59%
1577,包钢股份,600010,1.79,0.00%,0,130.91万,2.33亿,1.68%
1578,首创环保,600008,3.16,0.00%,0,36.92万,1.17亿,1.27%
1584,铜冠铜箔,301217,10.01,0.00%,0,1.84万,1834.51万,2.00%
1585,东箭科技,300978,10.11,0.00%,0,2.09万,2112.36万,2.77%
1588,设研院,300732,6.22,0.00%,0,3.66万,2285.88万,2.09%
1589,怡达股份,300721,14.56,0.00%,0,9.11万,1.30亿,4.05%
1590,澄天伟业,300689,30.25,0.00%,0,2750,831.55万,2.71%
1591,创业黑马,300688,26.93,0.00%,0,2.46万,6593.05万,2.86%
1592,同益股份,300538,13.83,0.00%,0,3.15万,4358.22万,3.47%
1596,中密控股,300470,35.92,0.00%,0,1.10万,3986.77万,2.73%
1604,中密控股,300470,35.92,0.00%,0,1.10万,3986.77万,2.73%
1618,温州宏丰,300283,5.42,0.00%,0,3.63万,1960.27万,2.03%
1623,纳川股份,300198,2.49,0.00%,0,31.95万,7747.98万,6.02%
1625,通裕重工,300185,2.37,0.00%,0,36.50万,8699.78万,2.95%
1628,ST先河,300137,5.72,0.00%,0,1.61万,916.44万,1.22%
1639,欣贺股份,003016,6.74,0.00%,0,2.74万,1865.91万,4.30%
1640,绿茵生态,002887,7.13,0.00%,0,1.81万,1289.20万,1.68%
1641,金溢科技,002869,24.59,0.00%,0,1.39万,3404.66万,2.36%
1651,良信股份,002706,8.14,0.00%,0,15.08万,1.25亿,4.55%
1655,西部证券,002673,7.44,0.00%,0,12.25万,9090.43万,0.94%
1658,光启技术,002625,41.44,0.00%,0,10.09万,4.20亿,3.67%
1662,良信股份,002706,8.14,0.00%,0,15.10万,1.25亿,4.55%
1663,奥瑞金,002701,5.21,0.00%,0,15.45万,8054.36万,2.50%
1669,光启技术,002625,41.44,0.00%,0,10.10万,4.20亿,3.67%
1675,千红制药,002550,6.02,0.00%,0,10.55万,6302.99万,2.16%
1676,亚太科技,002540,5.98,0.00%,0,3.67万,2180.91万,1.51%
1678,浙江众成,002522,4.54,0.00%,0,16.13万,7298.00万,4.41%
1684,荣盛石化,002493,8.21,0.00%,0,7.34万,5986.36万,1.71%
1688,晶澳科技,002459,9.64,0.00%,0,21.40万,2.05亿,2.28%
1693,棕榈股份,002431,1.9,0.00%,0,11.02万,2071.25万,3.16%
1698,积成电子,002339,6.92,0.00%,0,7.78万,5384.76万,2.31%
1700,普利特,002324,10.02,0.00%,0,4.28万,4276.09万,1.30%
1702,普利特,002324,10.02,0.00%,0,4.28万,4276.09万,1.30%
1705,亚太股份,002284,10.5,0.00%,0,15.51万,1.64亿,2.29%
1707,桂林三金,002275,13.73,0.00%,0,1.54万,2107.99万,1.53%
1710,大华股份,002236,16.09,0.00%,0,11.96万,1.92亿,1.24%
1713,华天科技,002185,9.84,0.00%,0,10.55万,1.04亿,1.42%
1718,三变科技,002112,13.22,0.00%,0,11.14万,1.50亿,4.01%
1722,三变科技,002112,13.22,0.00%,0,11.14万,1.50亿,4.01%
1728,联创电子,002036,10.17,0.00%,0,43.14万,4.39亿,5.11%
1730,永新股份,002014,10.89,0.00%,0,2.04万,2217.02万,1.10%
1733,东瑞股份,001201,14.34,0.00%,0,2.01万,2871.05万,1.53%
1735,ST九芝,000989,9.2,0.00%,0,8.26万,7599.69万,1.63%
1745,海南高速,000886,6.15,0.00%,0,8.95万,5529.24万,2.76%
1757,广发证券,000776,15.49,0.00%,0,10.62万,1.64亿,1.23%
1764,*ST京蓝,000711,1.91,0.00%,0,33.55万,6384.24万,3.14%
1783,渤海股份,000605,7.4,0.00%,0,12.96万,9550.04万,8.11%
1792,北部湾港,000582,8.89,0.00%,0,31.00万,2.75亿,3.49%
1807,柳    工,000528,10.17,0.00%,0,37.03万,3.81亿,5.80%
1824,中集集团,000039,7.59,0.00%,0,18.87万,1.43亿,0.79%
1827,深圳能源,000027,6.28,0.00%,0,11.18万,6999.64万,1.59%
1835,移远通信,603236,69.15,-0.01%,-0.01,4.07万,2.80亿,2.11%
1836,禾迈股份,688032,99.99,-0.02%,-0.02,3087,3075.47万,2.09%
1837,雷赛智能,002979,45.67,-0.02%,-0.01,5.81万,2.64亿,3.50%
1838,长虹能源,836239,43.79,-0.02%,-0.01,1.01万,4393.41万,3.77%
1839,凯旺科技,301182,31.41,-0.03%,-0.01,2.08万,6656.81万,5.25%
1840,新天然气,603393,28.48,-0.04%,-0.01,1.63万,4668.24万,2.11%
1841,华熙生物,688363,47.58,-0.04%,-0.02,1.21万,5853.40万,3.72%
1842,莱特光电,688150,22.39,-0.04%,-0.01,2.24万,4981.94万,2.28%
1843,蓝宇股份,301585,42.73,-0.05%,-0.02,4572,1942.91万,1.89%
1844,优刻得-W,688158,21.21,-0.05%,-0.01,13.11万,2.81亿,4.24%
1845,星辉环材,300834,19.98,-0.05%,-0.01,1.14万,2299.20万,3.80%
1846,瑞普生物,300119,19.15,-0.05%,-0.01,5.85万,1.11亿,3.18%
1847,双元科技,688623,56.62,-0.05%,-0.03,426,240.61万,0.94%
1848,深科技,000021,17.49,-0.06%,-0.01,7.05万,1.23亿,0.97%
1849,招商证券,600999,16.92,-0.06%,-0.01,7.22万,1.22亿,1.06%
1850,中视传媒,600088,16.48,-0.06%,-0.01,1.30万,2140.30万,1.58%
1851,中晟高科,002778,16.13,-0.06%,-0.01,1.41万,2267.96万,5.14%
1852,大华股份,002236,16.08,-0.06%,-0.01,11.96万,1.92亿,1.24%
1853,信雅达,600571,15.71,-0.06%,-0.01,36.58万,5.84亿,5.03%
1854,盛帮股份,301233,46.68,-0.06%,-0.03,6953,3238.85万,2.89%
1855,天阳科技,300872,15.07,-0.07%,-0.01,5.28万,7984.12万,2.98%
1856,斯迪克,300806,14.85,-0.07%,-0.01,2.94万,4355.32万,2.15%
1857,国泰环保,301203,29.23,-0.07%,-0.02,2296,675.94万,3.04%
1858,必创科技,300667,14.17,-0.07%,-0.01,4.37万,6275.38万,4.72%
1859,海康威视,002415,28.16,-0.07%,-0.02,10.25万,2.89亿,0.50%
1860,迪安诊断,300244,13.74,-0.07%,-0.01,11.01万,1.50亿,2.84%
1861,迪安诊断,300244,13.74,-0.07%,-0.01,11.02万,1.50亿,2.84%
1862,瑞晟智能,688215,27.44,-0.07%,-0.02,4916,1333.65万,2.95%
1863,慧博云通,301316,27.05,-0.07%,-0.02,10.70万,2.90亿,2.51%
1864,爱尔眼科,300015,13.1,-0.08%,-0.01,25.10万,3.28亿,1.60%
1865,通富微电,002156,25.41,-0.08%,-0.02,8.19万,2.08亿,1.18%
1866,吉祥航空,603885,12.61,-0.08%,-0.01,5.83万,7321.19万,1.35%
1867,菜百股份,605599,12.18,-0.08%,-0.01,1.77万,2157.08万,1.56%
1868,润和软件,300339,48.69,-0.08%,-0.04,10.58万,5.16亿,1.83%
1869,安凯微,688620,11.55,-0.09%,-0.01,2.63万,3033.03万,2.51%
1870,杭州高新,300478,11.54,-0.09%,-0.01,3.29万,3832.80万,4.68%
1871,望变电气,603191,11.5,-0.09%,-0.01,3.24万,3772.75万,3.21%
1872,华体科技,603679,11.18,-0.09%,-0.01,2.16万,2396.41万,2.32%
1873,中科海讯,300810,33.03,-0.09%,-0.03,2.80万,9214.03万,2.87%
1874,恒盛能源,605580,10.72,-0.09%,-0.01,2.79万,3022.65万,4.66%
1875,金海通,603061,84.42,-0.09%,-0.08,2697,2273.55万,1.93%
1876,奔朗新材,836807,10.21,-0.10%,-0.01,1.27万,1285.92万,3.72%
1877,力聚热能,603391,40.72,-0.10%,-0.04,3630,1477.91万,1.25%
1878,澄天伟业,300689,30.22,-0.10%,-0.03,2798,846.05万,2.71%
1879,东芯股份,688110,30.15,-0.10%,-0.03,2.69万,8068.01万,1.79%
1880,华天科技,002185,9.83,-0.10%,-0.01,10.55万,1.04亿,1.42%
1881,华天科技,002185,9.83,-0.10%,-0.01,10.55万,1.04亿,1.42%
1882,志特新材,300986,19.57,-0.10%,-0.02,4.91万,9564.60万,2.55%
1883,杭叉集团,603298,19.51,-0.10%,-0.02,2.60万,5105.83万,2.05%
1884,伟隆股份,002871,9.6,-0.10%,-0.01,2.23万,2164.99万,3.12%
1885,辰安科技,300523,18.93,-0.11%,-0.02,6698,1265.50万,2.64%
1886,峰岹科技,688279,232.75,-0.11%,-0.25,4358,1.00亿,3.58%
1887,中国软件,600536,44.53,-0.11%,-0.05,6.87万,3.06亿,1.84%
1888,旺成科技,830896,17.74,-0.11%,-0.02,6911,1210.90万,7.94%
1889,同济科技,600846,8.86,-0.11%,-0.01,1.83万,1615.48万,1.35%
1890,ST世龙,002748,8.84,-0.11%,-0.01,3.85万,3442.33万,4.63%
1891,金马游乐,300756,17.57,-0.11%,-0.02,2.10万,3649.71万,2.50%
1892,海天瑞声,688787,87.73,-0.11%,-0.1,1.97万,1.72亿,5.57%
1893,鄂尔多斯,600295,8.75,-0.11%,-0.01,3.55万,3099.10万,1.37%
1894,汇成股份,688403,8.72,-0.11%,-0.01,3.80万,3291.35万,1.72%
1895,惠泰医疗,688617,432.56,-0.12%,-0.5,1378,5948.13万,1.73%
1896,移远通信,603236,69.08,-0.12%,-0.08,4.09万,2.82亿,2.11%
1897,奇德新材,300995,33.81,-0.12%,-0.04,2.61万,8799.93万,4.14%
1898,博实结,301608,75.97,-0.12%,-0.09,5959,4535.74万,2.13%
1899,宇晶股份,002943,25.18,-0.12%,-0.03,9.21万,2.32亿,4.72%
1900,平高电气,600312,16.69,-0.12%,-0.02,5.66万,9492.59万,1.97%
1901,平高电气,600312,16.69,-0.12%,-0.02,5.66万,9492.59万,1.97%
1902,广信材料,300537,16.39,-0.12%,-0.02,2.18万,3538.34万,2.44%
1903,远信工业,301053,24.26,-0.12%,-0.03,6046,1467.15万,2.84%
1904,徕木股份,603633,8.01,-0.12%,-0.01,3.36万,2700.71万,3.12%
1905,电科数字,600850,24.01,-0.12%,-0.03,3.38万,8119.04万,1.83%
1906,长飞光纤,601869,31.71,-0.13%,-0.04,1.33万,4213.35万,1.67%
1907,开发科技,920029,102.83,-0.13%,-0.13,2.61万,2.65亿,5.98%
1908,金达威,002626,15.68,-0.13%,-0.02,6.40万,9973.90万,3.25%
1909,南京证券,601990,7.81,-0.13%,-0.01,9.07万,7041.23万,1.41%
1910,无锡振华,605319,31.17,-0.13%,-0.04,1.36万,4251.03万,3.78%
1911,华光新材,688379,23.25,-0.13%,-0.03,7196,1662.20万,2.75%
1912,百亚股份,003006,31,-0.13%,-0.04,1.96万,5992.75万,3.06%
1913,西部矿业,601168,15.42,-0.13%,-0.02,15.18万,2.33亿,0.97%
1914,金山办公,688111,284.47,-0.13%,-0.37,1.84万,5.23亿,3.22%
1915,江中药业,600750,22.93,-0.13%,-0.03,4.81万,1.10亿,1.79%
1916,宿迁联盛,603065,7.64,-0.13%,-0.01,4.84万,3629.18万,4.05%
1917,比依股份,603215,15.13,-0.13%,-0.02,2.25万,3388.36万,1.52%
1918,振华科技,000733,52.93,-0.13%,-0.07,5.88万,3.12亿,2.66%
1919,郑煤机,601717,15.05,-0.13%,-0.02,9.18万,1.38亿,1.46%
1920,正泰电器,601877,22.52,-0.13%,-0.03,3.99万,8969.87万,1.29%
1921,惠柏新材,301555,21.92,-0.14%,-0.03,5845,1280.39万,1.82%
1922,天岳先进,688234,58.17,-0.14%,-0.08,1.12万,6504.37万,2.37%
1923,鼎阳科技,688112,35.89,-0.14%,-0.05,2.26万,8145.94万,5.87%
1924,中材科技,002080,14.34,-0.14%,-0.02,4.24万,6032.79万,1.74%
1925,新炬网络,605398,28.36,-0.14%,-0.04,1.64万,4641.39万,3.35%
1926,万丰股份,603172,13.85,-0.14%,-0.02,6016,831.41万,2.52%
1927,分众传媒,002027,6.92,-0.14%,-0.01,39.78万,2.75亿,0.87%
1928,桂林三金,002275,13.71,-0.15%,-0.02,1.54万,2108.13万,1.53%
1929,昂利康,002940,13.42,-0.15%,-0.02,1.98万,2653.24万,2.38%
1930,上海莱士,002252,6.71,-0.15%,-0.01,19.51万,1.31亿,0.89%
1931,中微公司,688012,187.18,-0.15%,-0.28,2.74万,5.15亿,1.96%
1932,鼎泰高科,301377,26.14,-0.15%,-0.04,1.22万,3178.63万,1.87%
1933,中信博,688408,45.53,-0.15%,-0.07,9813,4467.15万,1.47%
1934,万祥科技,301180,12.75,-0.16%,-0.02,2.10万,2651.04万,2.43%
1935,楚天龙,003040,12.7,-0.16%,-0.02,4.87万,6159.97万,2.83%
1936,中纺标,873122,44.41,-0.16%,-0.07,2126,935.18万,3.64%
1937,汇纳科技,300609,25.22,-0.16%,-0.04,9344,2340.71万,2.53%
1938,吉祥航空,603885,12.6,-0.16%,-0.02,5.86万,7358.11万,1.35%
1939,欣旺达,300207,18.82,-0.16%,-0.03,11.84万,2.24亿,2.97%
1940,设研院,300732,6.21,-0.16%,-0.01,3.66万,2287.06万,2.09%
1941,汇纳科技,300609,25.22,-0.16%,-0.04,9344,2340.71万,2.53%
1942,宇晶股份,002943,25.17,-0.16%,-0.04,9.22万,2.32亿,4.72%
1943,设研院,300732,6.21,-0.16%,-0.01,3.66万,2287.12万,2.09%
1944,冀中能源,000937,6.18,-0.16%,-0.01,11.59万,7159.15万,1.13%
1945,迈赫股份,301199,30.45,-0.16%,-0.05,7074,2154.11万,1.74%
1946,地素时尚,603587,12.12,-0.16%,-0.02,1.17万,1415.24万,1.48%
1947,梦天家居,603216,12.11,-0.16%,-0.02,1.01万,1226.02万,2.14%
1948,千红制药,002550,6.01,-0.17%,-0.01,10.55万,6307.27万,2.16%
1949,继峰股份,603997,11.94,-0.17%,-0.02,2.48万,2945.70万,2.51%
1950,亚太科技,002540,5.97,-0.17%,-0.01,3.68万,2182.10万,1.51%
1951,洪兴股份,001209,17.43,-0.17%,-0.03,4.31万,7407.12万,4.87%
1952,晶华新材,603683,11.53,-0.17%,-0.02,2.84万,3276.14万,2.77%
1953,望变电气,603191,11.49,-0.17%,-0.02,3.24万,3773.67万,3.21%
1954,天准科技,688003,45.92,-0.17%,-0.08,1.76万,8169.91万,3.78%
1955,雷赛智能,002979,45.6,-0.18%,-0.08,5.82万,2.64亿,3.50%
1956,伟星股份,002003,11.33,-0.18%,-0.02,2.49万,2822.82万,1.32%
1957,宝通科技,300031,22.65,-0.18%,-0.04,9.87万,2.23亿,3.00%
